No.,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,month
372,QuintoAndar,Sao Paulo,other,State of São Paulo,Brazil,South America,160,19-Apr-22,4,4000,3840,Real Estate,Series E,755,2022,-23.5506507,-46.6333824,Apr
373,Facily,Sao Paulo,other,State of São Paulo,Brazil,South America,260,20-Apr-22,30,867,607,Retail,Series D,502,2022,-23.5506507,-46.6333824,Apr
374,Xiaohongshu,Shanghai,other,non,China,Asia,180,21-Apr-22,9,2000,1820,Consumer,Series E,917,2022,31.2312707,121.4700152,Apr
375,Bonsai,Toronto,other,Ontario,Canada,North America,29,26-Apr-22,34,85,56,Retail,Series A,27,2022,43.6534817,-79.3839347,Apr
376,Robinhood,Menlo Park,San Francisco Bay Area,California,USA,North America,340,26-Apr-22,9,3778,3438,Finance,Post-IPO,5600,2022,37.4519671,-122.177992,Apr
377,Domestika,Berkeley,San Francisco Bay Area,California,USA,North America,150,28-Apr-22,19,789,639,Education,Series D,130,2022,37.8708393,-122.272863,Apr
378,Avo,Tel Aviv,other,non,Israel,Asia,500,01-May-22,67,746,246,Food,Series B,45,2022,32.0852997,34.7818064,May
379,Cameo,Chicago,other,Illinois,USA,North America,87,04-May-22,25,348,261,Consumer,Unknown,165,2022,41.8755616,-87.6244212,May
380,Mainstreet,San Francisco,San Francisco Bay Area,California,USA,North America,45,04-May-22,30,150,105,Finance,Series A,64,2022,37.7792588,-122.4193286,May
381,SEND,Sydney,other,New South Wales,Australia,Oceana,300,04-May-22,100,300,0,Food,Seed,3,2022,-33.8698439,151.2082848,May
382,Mural,San Francisco,San Francisco Bay Area,California,USA,North America,90,05-May-22,10,900,810,Product,Series C,192,2022,37.7792588,-122.4193286,May
383,On Deck,San Francisco,San Francisco Bay Area,California,USA,North America,72,05-May-22,25,288,216,Education,Series A,20,2022,37.7792588,-122.4193286,May
384,Vedantu,Bengaluru,other,Karnataka,India,Asia,200,05-May-22,3,6667,6467,Education,Series E,292,2022,12.98815675,77.62260004,May
385,Reef,Miami,other,Florida,USA,North America,750,06-May-22,5,15000,14250,Transportation,Unknown,,2022,25.7741728,-80.19362,May
386,Meero,Paris,other,non,France,Europe,350,09-May-22,50,700,350,Other,Series C,293,2022,48.8588897,2.320041022,May
387,Vroom,New York City,other,New York,USA,North America,270,09-May-22,14,1929,1659,Transportation,Post-IPO,,2022,40.7127281,-74.0060152,May
388,Carvana,Phoenix,other,Arizona,USA,North America,2500,10-May-22,12,20833,18333,Transportation,Post-IPO,,2022,33.4484367,-112.074141,May
389,Doma,Huntington Beach,other,California,USA,North America,310,10-May-22,15,2067,1757,Finance,Post-IPO,679,2022,33.6783336,-118.000016,May
390,Latch,New York City,other,New York,USA,North America,30,10-May-22,6,500,470,Security,Post-IPO,342,2022,40.7127281,-74.0060152,May
391,Pollen,London,other,England,UK,Europe,200,10-May-22,33,606,406,Travel,Series C,238,2022,51.4893335,-0.144055085,May
392,DataRobot,Boston,other,Massachusetts,USA,North America,70,11-May-22,7,1000,930,Data,Series G,1000,2022,42.3554334,-71.060511,May
393,AliExpress Russia,Moscow,other,non,Russia,Europe,400,14-May-22,40,1000,600,Retail,Acquired,60,2022,55.7505412,37.6174782,May
394,Zak,Sao Paulo,other,State of São Paulo,Brazil,South America,100,16-May-22,40,250,150,Food,Series A,29,2022,-23.5506507,-46.6333824,May
395,Kry,Stockholm,other,non,Sweden,Europe,100,17-May-22,10,1000,900,Healthcare,Series D,568,2022,59.3251172,18.0710935,May
396,Netflix,Los Gatos,San Francisco Bay Area,California,USA,North America,150,17-May-22,1,15000,14850,Media,Post-IPO,121900,2022,37.226611,-121.9746797,May
397,Picsart,Miami,other,Florida,USA,North America,90,17-May-22,8,1125,1035,Consumer,Series C,195,2022,25.7741728,-80.19362,May
398,Vedantu,Bengaluru,other,Karnataka,India,Asia,424,18-May-22,7,6057,5633,Education,Series E,292,2022,12.98815675,77.62260004,May
399,Cars24,Gurugram,other,Haryana,India,Asia,600,19-May-22,6,10000,9400,Transportation,Series G,1300,2022,28.4646148,77.0299194,May
400,Latch,New York City,other,New York,USA,North America,130,20-May-22,28,464,334,Security,Post-IPO,342,2022,40.7127281,-74.0060152,May
401,Outside,Boulder,other,Colorado,USA,North America,87,20-May-22,15,580,493,Media,Series B,174,2022,40.0149856,-105.270545,May
402,Skillz,San Francisco,San Francisco Bay Area,California,USA,North America,70,20-May-22,10,700,630,Consumer,Post-IPO,287,2022,37.7792588,-122.4193286,May
403,MFine,Bengaluru,other,Karnataka,India,Asia,600,21-May-22,75,800,200,Healthcare,Series C,97,2022,12.98815675,77.62260004,May
404,Airtime,New York City,other,New York,USA,North America,30,23-May-22,20,150,120,Consumer,Series B,33,2022,40.7127281,-74.0060152,May
405,BeyondMinds,Tel Aviv,other,non,Israel,Asia,65,23-May-22,100,65,0,Data,Series A,16,2022,32.0852997,34.7818064,May
406,Buenbit,Buenos Aires,other,non,Argentina,South America,80,23-May-22,45,178,98,Crypto,Series A,11,2022,-34.6037181,-58.38153,May
407,ClickUp,San Diego,other,California,USA,North America,60,23-May-22,7,857,797,Other,Series C,537,2022,32.7174202,-117.162772,May
408,Klarna,Stockholm,other,non,Sweden,Europe,700,23-May-22,10,7000,6300,Finance,Unknown,3700,2022,59.3251172,18.0710935,May
409,Gorillas,Berlin,other,Berlin,Germany,Europe,300,24-May-22,50,600,300,Food,Series C,1300,2022,52.5170365,13.3888599,May
410,Bolt,San Francisco,San Francisco Bay Area,California,USA,North America,240,25-May-22,27,889,649,Finance,Series E,1300,2022,37.7792588,-122.4193286,May
411,Coterie Insurance,Cincinnati,other,Ohio,USA,North America,30,25-May-22,20,150,120,Finance,Series B,70,2022,39.1014537,-84.5124602,May
412,Kontist,Berlin,other,Berlin,Germany,Europe,50,25-May-22,25,200,150,Finance,Series B,53,2022,52.5170365,13.3888599,May
413,Lacework,Mountain View,San Francisco Bay Area,California,USA,North America,300,25-May-22,20,1500,1200,Security,Series D,1900,2022,37.3893889,-122.0832101,May
414,Nuri,Berlin,other,Berlin,Germany,Europe,45,25-May-22,20,225,180,Finance,Series B,42,2022,52.5170365,13.3888599,May
415,Bitso,Mexico City,other,non,Mexico,North America,80,26-May-22,11,727,647,Crypto,Series C,378,2022,19.4326296,-99.1331785,May
416,VTEX,Sao Paulo,other,State of São Paulo,Brazil,South America,200,26-May-22,13,1538,1338,Retail,Post-IPO,365,2022,-23.5506507,-46.6333824,May
417,FrontRow,Bengaluru,other,Karnataka,India,Asia,145,27-May-22,30,483,338,Education,Series A,17,2022,12.98815675,77.62260004,May
418,Uncapped,London,other,England,UK,Europe,29,27-May-22,26,112,83,Finance,Unknown,118,2022,51.4893335,-0.144055085,May
419,Mobile Premier League,Bengaluru,other,Karnataka,India,Asia,100,30-May-22,10,1000,900,Consumer,Series E,375,2022,12.98815675,77.62260004,May
420,SumUp,Sao Paulo,other,State of São Paulo,Brazil,South America,100,30-May-22,3,3333,3233,Finance,Unknown,50,2022,-23.5506507,-46.6333824,May
421,SWVL,Dubai,other,non,United Arabian Emirates,Asia,400,30-May-22,32,1250,850,Transportation,Post-IPO,132,2022,25.276987,55.296249,May
422,BookClub,Salt Lake City,other,Utah,USA,North America,12,31-May-22,25,48,36,Education,Series A,26,2022,40.7596198,-111.886797,May
423,Tomo,Stamford,other,Connecticut,USA,North America,44,31-May-22,33,133,89,Finance,Series A,110,2022,41.0534302,-73.5387341,May
424,2TM,Sao Paulo,other,State of São Paulo,Brazil,South America,90,01-Jun-22,12,750,660,Crypto,Unknown,250,2022,-23.5506507,-46.6333824,Jun
425,Curve,London,other,England,UK,Europe,65,01-Jun-22,10,650,585,Finance,Series C,182,2022,51.4893335,-0.144055085,Jun
426,Cybereason,Boston,other,Massachusetts,USA,North America,100,01-Jun-22,6,1667,1567,Security,Series F,750,2022,42.3554334,-71.060511,Jun
427,Impala,London,other,England,UK,Europe,30,01-Jun-22,35,86,56,Travel,Series B,32,2022,51.4893335,-0.144055085,Jun
428,Loom,San Francisco,San Francisco Bay Area,California,USA,North America,34,01-Jun-22,14,243,209,Product,Series C,203,2022,37.7792588,-122.4193286,Jun
429,Udayy,Gurugram,other,Haryana,India,Asia,100,01-Jun-22,100,100,0,Education,Seed,2,2022,28.4646148,77.0299194,Jun
430,Carbon Health,San Francisco,San Francisco Bay Area,California,USA,North America,250,02-Jun-22,8,3125,2875,Healthcare,Series D,522,2022,37.7792588,-122.4193286,Jun
431,Gather,Palo Alto,San Francisco Bay Area,California,USA,North America,30,02-Jun-22,33,91,61,Consumer,Series B,76,2022,37.4443293,-122.1598465,Jun
432,Gemini,New York City,other,New York,USA,North America,100,02-Jun-22,10,1000,900,Crypto,Unknown,423,2022,40.7127281,-74.0060152,Jun
433,IRL,Berkeley,San Francisco Bay Area,California,USA,North America,25,02-Jun-22,25,100,75,Consumer,Series C,197,2022,37.8708393,-122.272863,Jun
434,PolicyGenius,New York City,other,New York,USA,North America,170,02-Jun-22,25,680,510,Finance,Series E,286,2022,40.7127281,-74.0060152,Jun
435,Stord,Atlanta,other,Georgia,USA,North America,59,02-Jun-22,8,738,679,Logistics,Series D,325,2022,33.7489924,-84.3902644,Jun
436,Yojak,Gurugram,other,Haryana,India,Asia,140,02-Jun-22,50,280,140,Construction,Seed,3,2022,28.4646148,77.0299194,Jun
437,Food52,New York City,other,New York,USA,North America,21,03-Jun-22,15,140,119,Food,Acquired,176,2022,40.7127281,-74.0060152,Jun
438,Superhuman,San Francisco,San Francisco Bay Area,California,USA,North America,23,03-Jun-22,22,105,82,Consumer,Series C,108,2022,37.7792588,-122.4193286,Jun
439,Dutchie,Bend,other,Oregon,USA,North America,50,06-Jun-22,7,714,664,Other,Series D,603,2022,44.0581728,-121.3153096,Jun
440,Bird,Los Angeles,other,California,USA,North America,138,07-Jun-22,23,600,462,Transportation,Post-IPO,783,2022,34.0536909,-118.242766,Jun
441,Cazoo,London,other,England,UK,Europe,750,07-Jun-22,15,5000,4250,Transportation,Post-IPO,2000,2022,51.4893335,-0.144055085,Jun
442,Rupeek,Bengaluru,other,Karnataka,India,Asia,180,07-Jun-22,15,1200,1020,Finance,Unknown,172,2022,12.98815675,77.62260004,Jun
443,iPrice Group,Kuala Lumpur,other,non,Malaysia,Asia,50,08-Jun-22,20,250,200,Retail,Unknown,26,2022,3.1516964,101.6942371,Jun
444,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,250,08-Jun-22,21,1190,940,Travel,Post-IPO,839,2022,37.7792588,-122.4193286,Jun
445,Truepill,Hayward,San Francisco Bay Area,California,USA,North America,150,08-Jun-22,15,1000,850,Healthcare,Series D,255,2022,37.6688205,-122.080796,Jun
446,Boozt,Malmö,other,non,Sweden,Europe,70,09-Jun-22,5,1400,1330,Retail,Post-IPO,56,2022,55.6052931,13.0001566,Jun
447,Convoy,Seattle,Cascadia,Washington,USA,North America,90,09-Jun-22,7,1286,1196,Logistics,Series E,1100,2022,47.6038321,-122.330062,Jun
448,Hologram,Chicago,other,Illinois,USA,North America,80,09-Jun-22,40,200,120,Infrastructure,Series B,82,2022,41.8755616,-87.6244212,Jun
449,OneTrust,Atlanta,other,Georgia,USA,North America,950,09-Jun-22,25,3800,2850,Security,Series C,926,2022,33.7489924,-84.3902644,Jun
450,Preply,Boston,other,Massachusetts,USA,North America,26,09-Jun-22,5,520,494,Education,Series C,100,2022,42.3554334,-71.060511,Jun
451,Stashaway,Singapore,other,non,Singapore,Asia,31,09-Jun-22,14,221,190,Finance,Series D,61,2022,1.2899175,103.8519072,Jun
452,Stitch Fix,San Francisco,San Francisco Bay Area,California,USA,North America,330,09-Jun-22,15,2200,1870,Retail,Post-IPO,79,2022,37.7792588,-122.4193286,Jun
453,The Grommet,Boston,other,Massachusetts,USA,North America,40,09-Jun-22,100,40,0,Retail,Acquired,5,2022,42.3554334,-71.060511,Jun
454,Albert,Los Angeles,other,California,USA,North America,20,10-Jun-22,8,250,230,Finance,Series C,175,2022,34.0536909,-118.242766,Jun
455,Berlin Brands Group,Berlin,other,Berlin,Germany,Europe,100,10-Jun-22,10,1000,900,Retail,Unknown,1000,2022,52.5170365,13.3888599,Jun
456,Crypto.com,Singapore,other,non,Singapore,Asia,260,10-Jun-22,5,5200,4940,Crypto,Unknown,156,2022,1.2899175,103.8519072,Jun
457,FarEye,New Delhi,other,Delhi,India,Asia,250,10-Jun-22,30,833,583,Logistics,Series E,150,2022,28.6138954,77.2090057,Jun
458,Freetrade,London,other,England,UK,Europe,45,10-Jun-22,15,300,255,Finance,Unknown,133,2022,51.4893335,-0.144055085,Jun
459,Sanar,Sao Paulo,other,State of São Paulo,Brazil,South America,60,10-Jun-22,20,300,240,Healthcare,Unknown,11,2022,-23.5506507,-46.6333824,Jun
460,BlockFi,New York City,other,New York,USA,North America,250,13-Jun-22,20,1250,1000,Crypto,Series E,1000,2022,40.7127281,-74.0060152,Jun
461,Studio,San Francisco,San Francisco Bay Area,California,USA,North America,33,13-Jun-22,40,83,50,Education,Series B,50,2022,37.7792588,-122.4193286,Jun
462,Wave Sports and Entertainment,Los Angeles,other,California,USA,North America,56,13-Jun-22,33,170,114,Media,Series B,65,2022,34.0536909,-118.242766,Jun
463,Breathe,New Delhi,other,Delhi,India,Asia,50,14-Jun-22,33,152,102,Healthcare,Series A,6,2022,28.6138954,77.2090057,Jun
464,Coinbase,San Francisco,San Francisco Bay Area,California,USA,North America,1100,14-Jun-22,18,6111,5011,Crypto,Post-IPO,549,2022,37.7792588,-122.4193286,Jun
465,Compass,New York City,other,New York,USA,North America,450,14-Jun-22,10,4500,4050,Real Estate,Post-IPO,,2022,40.7127281,-74.0060152,Jun
466,Redfin,Seattle,Cascadia,Washington,USA,North America,470,14-Jun-22,8,5875,5405,Real Estate,Post-IPO,319,2022,47.6038321,-122.330062,Jun
467,Sami,Sao Paulo,other,State of São Paulo,Brazil,South America,75,14-Jun-22,15,500,425,Healthcare,Unknown,36,2022,-23.5506507,-46.6333824,Jun
468,TIFIN,Boulder,other,Colorado,USA,North America,24,14-Jun-22,10,240,216,Crypto,Series D,204,2022,40.0149856,-105.270545,Jun
469,Notarize,Boston,other,Massachusetts,USA,North America,110,15-Jun-22,25,440,330,Legal,Series D,213,2022,42.3554334,-71.060511,Jun
470,OpenWeb,Tel Aviv,other,non,Israel,Asia,14,15-Jun-22,5,280,266,Media,Series E,223,2022,32.0852997,34.7818064,Jun
471,Swappie,Helsinki,other,non,Finland,Europe,250,15-Jun-22,17,1471,1221,Retail,Series C,169,2022,60.1674881,24.9427473,Jun
472,Swyft,Toronto,other,Ontario,Canada,North America,10,15-Jun-22,30,33,23,Logistics,Series A,20,2022,43.6534817,-79.3839347,Jun
473,Tonkean,Palo Alto,San Francisco Bay Area,California,USA,North America,23,15-Jun-22,23,100,77,Other,Series B,83,2022,37.4443293,-122.1598465,Jun
474,Wealthsimple,Toronto,other,Ontario,Canada,North America,159,15-Jun-22,13,1223,1064,Finance,Unknown,900,2022,43.6534817,-79.3839347,Jun
475,Weee!,Fremont,San Francisco Bay Area,California,USA,North America,150,15-Jun-22,10,1500,1350,Food,Series E,863,2022,37.5482697,-121.988571,Jun
476,JOKR,New York City,other,New York,USA,North America,50,16-Jun-22,5,1000,950,Food,Series B,430,2022,40.7127281,-74.0060152,Jun
477,Zumper,San Francisco,San Francisco Bay Area,California,USA,North America,45,16-Jun-22,15,300,255,Real Estate,Series D,178,2022,37.7792588,-122.4193286,Jun
478,Finite State,Columbus,other,Ohio,USA,North America,16,17-Jun-22,20,80,64,Security,Series B,49,2022,39.9622601,-83.0007065,Jun
479,Socure,Reno,other,Nevada,USA,North America,69,17-Jun-22,13,531,462,Finance,Series E,646,2022,39.5261206,-119.8126581,Jun
480,Unacademy,Bengaluru,other,Karnataka,India,Asia,150,18-Jun-22,3,5000,4850,Education,Series H,838,2022,12.98815675,77.62260004,Jun
481,BitOasis,Dubai,other,non,United Arabian Emirates,Asia,9,19-Jun-22,5,180,171,Crypto,Series B,30,2022,25.276987,55.296249,Jun
482,CityMall,Gurugram,other,Haryana,India,Asia,191,19-Jun-22,30,637,446,Retail,Series C,112,2022,28.4646148,77.0299194,Jun
483,Aqgromalin,Chennai,other,Tamil Nadu,India,Asia,80,20-Jun-22,30,267,187,Food,Unknown,12,2022,13.0836939,80.270186,Jun
484,Bonsai,Toronto,other,Ontario,Canada,North America,30,20-Jun-22,55,55,25,Retail,Series A,27,2022,43.6534817,-79.3839347,Jun
485,Brighte,Sydney,other,New South Wales,Australia,Oceana,30,20-Jun-22,15,200,170,Energy,Series C,145,2022,-33.8698439,151.2082848,Jun
486,SummerBio,Menlo Park,San Francisco Bay Area,California,USA,North America,101,20-Jun-22,100,101,0,Healthcare,Unknown,7,2022,37.4519671,-122.177992,Jun
487,Trax,Singapore,other,non,Singapore,Asia,100,20-Jun-22,12,833,733,Retail,Series E,1000,2022,1.2899175,103.8519072,Jun
488,Community,Los Angeles,other,California,USA,North America,40,21-Jun-22,30,133,93,Marketing,Unknown,40,2022,34.0536909,-118.242766,Jun
489,Ebanx,Curitiba,other,State of Paraná,Brazil,South America,340,21-Jun-22,20,1700,1360,Finance,Series B,460,2022,-25.4295963,-49.2712724,Jun
490,Sourcegraph,San Francisco,San Francisco Bay Area,California,USA,North America,24,21-Jun-22,8,300,276,Product,Series D,248,2022,37.7792588,-122.4193286,Jun
491,IronNet,Washington DC,other,District of Columbia,USA,North America,90,22-Jun-22,35,257,167,Security,Post-IPO,410,2022,38.8950368,-77.0365427,Jun
492,MasterClass,San Francisco,San Francisco Bay Area,California,USA,North America,120,22-Jun-22,20,600,480,Education,Series E,461,2022,37.7792588,-122.4193286,Jun
493,Ritual,Toronto,other,Ontario,Canada,North America,23,22-Jun-22,16,144,121,Food,Series C,134,2022,43.6534817,-79.3839347,Jun
494,Superpedestrian,Boston,other,Massachusetts,USA,North America,35,22-Jun-22,7,500,465,Transportation,Series C,261,2022,42.3554334,-71.060511,Jun
495,Voi,Stockholm,other,non,Sweden,Europe,35,22-Jun-22,10,350,315,Transportation,Series D,515,2022,59.3251172,18.0710935,Jun
496,Aura,Boston,other,Massachusetts,USA,North America,70,23-Jun-22,9,778,708,Security,Series F,500,2022,42.3554334,-71.060511,Jun
497,Netflix,Los Gatos,San Francisco Bay Area,California,USA,North America,300,23-Jun-22,3,10000,9700,Media,Post-IPO,121900,2022,37.226611,-121.9746797,Jun
498,Pipl,Spokane,other,Washington,USA,North America,22,23-Jun-22,13,169,147,Security,Unknown,19,2022,47.6571934,-117.42351,Jun
499,Vouch,San Francisco,San Francisco Bay Area,California,USA,North America,15,23-Jun-22,7,214,199,Finance,Series C,159,2022,37.7792588,-122.4193286,Jun
500,Voyage SMS,Los Angeles,other,California,USA,North America,8,23-Jun-22,13,62,54,Marketing,Unknown,10,2022,34.0536909,-118.242766,Jun
501,Bestow,Dallas,other,Texas,USA,North America,41,24-Jun-22,14,293,252,Finance,Series C,137,2022,32.7762719,-96.7968559,Jun
502,Bitpanda,Vienna,other,non,Austria,Europe,270,24-Jun-22,27,1000,730,Crypto,Series C,546,2022,48.2083537,16.3725042,Jun
503,Ethos Life,San Francisco,San Francisco Bay Area,California,USA,North America,40,24-Jun-22,12,333,293,Finance,Series D,406,2022,37.7792588,-122.4193286,Jun
504,Sunday,Atlanta,other,Georgia,USA,North America,90,24-Jun-22,23,391,301,Finance,Series A,124,2022,33.7489924,-84.3902644,Jun
505,AppLovin,Palo Alto,San Francisco Bay Area,California,USA,North America,300,27-Jun-22,12,2500,2200,Marketing,Post-IPO,1600,2022,37.4443293,-122.1598465,Jun
506,Banxa,Melbourne,other,Victoria,Australia,Oceana,70,27-Jun-22,30,233,163,Crypto,Post-IPO,13,2022,-37.8142454,144.9631732,Jun
507,SafeGraph,San Francisco,San Francisco Bay Area,California,USA,North America,27,27-Jun-22,25,108,81,Data,Series B,61,2022,37.7792588,-122.4193286,Jun
508,Udaan,Bengaluru,other,Karnataka,India,Asia,180,27-Jun-22,4,4500,4320,Retail,Unknown,,2022,12.98815675,77.62260004,Jun
509,UiPath,New York City,other,New York,USA,North America,210,27-Jun-22,5,4200,3990,Data,Post-IPO,2000,2022,40.7127281,-74.0060152,Jun
510,Bright Machines,San Francisco,San Francisco Bay Area,California,USA,North America,30,28-Jun-22,8,375,345,Data,Unknown,250,2022,37.7792588,-122.4193286,Jun
511,HealthMatch,Sydney,other,New South Wales,Australia,Oceana,18,28-Jun-22,50,36,18,Healthcare,Series B,20,2022,-33.8698439,151.2082848,Jun
512,Huobi,Beijing,other,non,China,Asia,300,28-Jun-22,30,1000,700,Crypto,Unknown,2,2022,39.916668,116.383331,Jun
513,Sidecar Health,Los Angeles,other,California,USA,North America,110,28-Jun-22,40,275,165,Healthcare,Series C,163,2022,34.0536909,-118.242766,Jun
514,StockX,Detroit,other,Michigan,USA,North America,120,28-Jun-22,8,1500,1380,Retail,Series E,690,2022,42.3315509,-83.0466403,Jun
515,Vezeeta,Dubai,other,non,United Arabian Emirates,Asia,50,28-Jun-22,10,500,450,Healthcare,Series D,71,2022,25.276987,55.296249,Jun
516,Baton,San Francisco,San Francisco Bay Area,California,USA,North America,16,29-Jun-22,25,64,48,Transportation,Series A,13,2022,37.7792588,-122.4193286,Jun
517,Clutch,Toronto,other,Ontario,Canada,North America,76,29-Jun-22,22,345,269,Transportation,Series B,153,2022,43.6534817,-79.3839347,Jun
518,Niantic,San Francisco,San Francisco Bay Area,California,USA,North America,85,29-Jun-22,8,1063,978,Consumer,Series D,770,2022,37.7792588,-122.4193286,Jun
519,Oye Rickshaw,New Delhi,other,Delhi,India,Asia,40,29-Jun-22,20,200,160,Transportation,Unknown,13,2022,28.6138954,77.2090057,Jun
520,Qumulo,Seattle,Cascadia,Washington,USA,North America,80,29-Jun-22,19,421,341,Data,Series E,347,2022,47.6038321,-122.330062,Jun
521,Rows,Berlin,other,Berlin,Germany,Europe,18,29-Jun-22,30,60,42,Other,Series B,25,2022,52.5170365,13.3888599,Jun
522,Substack,San Francisco,San Francisco Bay Area,California,USA,North America,13,29-Jun-22,14,93,80,Media,Series B,82,2022,37.7792588,-122.4193286,Jun
523,Unity,San Francisco,San Francisco Bay Area,California,USA,North America,200,29-Jun-22,4,5000,4800,Other,Post-IPO,1300,2022,37.7792588,-122.4193286,Jun
524,Abra,Mountain View,San Francisco Bay Area,California,USA,North America,12,30-Jun-22,5,240,228,Crypto,Series C,106,2024,37.3893889,-122.0832101,Jun
525,Crejo.Fun,Bengaluru,other,Karnataka,India,Asia,170,30-Jun-22,100,170,0,Education,Seed,3,2022,12.98815675,77.62260004,Jun
526,Enjoy,Mountain View,San Francisco Bay Area,California,USA,North America,400,30-Jun-22,18,2222,1822,Retail,Post-IPO,310,2022,37.3893889,-122.0832101,Jun
527,Finleap Connect,Hamburg,other,Hamburg,Germany,Europe,14,30-Jun-22,10,140,126,Finance,Series A,22,2022,53.550341,10.000654,Jun
528,Nate,New York City,other,New York,USA,North America,30,30-Jun-22,20,150,120,Retail,Series A,47,2022,40.7127281,-74.0060152,Jun
529,Stash Financial,New York City,other,New York,USA,North America,40,30-Jun-22,8,500,460,Finance,Unknown,480,2022,40.7127281,-74.0060152,Jun
530,Stream,Boulder,other,Colorado,USA,North America,20,30-Jun-22,12,167,147,Product,Series B,58,2022,40.0149856,-105.270545,Jun
531,Canoo,Los Angeles,other,California,USA,North America,58,01-Jul-22,6,967,909,Transportation,Post-IPO,300,2022,34.0536909,-118.242766,Jul
532,Teleport,Oakland,San Francisco Bay Area,California,USA,North America,15,01-Jul-22,6,250,235,Infrastructure,Series C,169,2022,37.8044557,-122.271356,Jul
533,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,85,01-Jul-22,100,85,0,Travel,Series B,26,2022,37.7792588,-122.4193286,Jul
534,Celsius,New York City,other,New York,USA,North America,150,03-Jul-22,25,600,450,Crypto,Series B,864,2022,40.7127281,-74.0060152,Jul
535,Lendis,Berlin,other,Berlin,Germany,Europe,18,04-Jul-22,15,120,102,Other,Series A,90,2022,52.5170365,13.3888599,Jul
536,Lightricks,Jerusalem,other,non,Israel,Asia,80,04-Jul-22,12,667,587,Consumer,Series D,335,2022,31.78847185,35.21879441,Jul
537,Sendle,Sydney,other,New South Wales,Australia,Oceana,27,04-Jul-22,12,225,198,Logistics,Series C,69,2022,-33.8698439,151.2082848,Jul
538,Bizzabo,New York City,other,New York,USA,North America,120,05-Jul-22,30,400,280,Marketing,Series E,194,2022,40.7127281,-74.0060152,Jul
539,Bullish,Hong Kong,other,non,Hong Kong,Asia,30,05-Jul-22,8,375,345,Crypto,Unknown,300,2022,22.2793278,114.1628131,Jul
540,eToro,Tel Aviv,other,non,Israel,Asia,100,05-Jul-22,6,1667,1567,Finance,Unknown,322,2022,32.0852997,34.7818064,Jul
541,Loft,Sao Paulo,other,State of São Paulo,Brazil,South America,384,05-Jul-22,12,3200,2816,Real Estate,Unknown,788,2022,-23.5506507,-46.6333824,Jul
542,Outschool,San Francisco,San Francisco Bay Area,California,USA,North America,31,05-Jul-22,18,172,141,Education,Series D,240,2022,37.7792588,-122.4193286,Jul
543,Syte,Tel Aviv,other,non,Israel,Asia,13,05-Jul-22,8,163,150,Retail,Series C,71,2022,32.0852997,34.7818064,Jul
544,Thimble,New York City,other,New York,USA,North America,20,05-Jul-22,33,61,41,Finance,Series A,28,2022,40.7127281,-74.0060152,Jul
545,Transmit Security,Boston,other,Massachusetts,USA,North America,27,05-Jul-22,7,386,359,Security,Series A,583,2022,42.3554334,-71.060511,Jul
546,Verbit,New York City,other,New York,USA,North America,80,05-Jul-22,10,800,720,Data,Series E,569,2022,40.7127281,-74.0060152,Jul
547,Anodot,Tel Aviv,other,non,Israel,Asia,35,06-Jul-22,27,130,95,Data,Series C,64,2022,32.0852997,34.7818064,Jul
548,Remote,San Francisco,San Francisco Bay Area,California,USA,North America,100,06-Jul-22,9,1111,1011,HR,Series C,496,2022,37.7792588,-122.4193286,Jul
549,SQream,New York City,other,New York,USA,North America,30,06-Jul-22,18,167,137,Data,Series B,77,2022,40.7127281,-74.0060152,Jul
550,Argo AI,Pittsburgh,other,Pennsylvania,USA,North America,150,07-Jul-22,5,3000,2850,Transportation,Unknown,,2022,40.4416941,-79.9900861,Jul
551,Emotive,Los Angeles,other,California,USA,North America,30,07-Jul-22,18,167,137,Marketing,Series B,78,2022,34.0536909,-118.242766,Jul
552,Next Insurance,Palo Alto,San Francisco Bay Area,California,USA,North America,150,07-Jul-22,17,882,732,Finance,Series E,881,2022,37.4443293,-122.1598465,Jul
553,Butler Hospitality,New York City,other,New York,USA,North America,1000,08-Jul-22,100,1000,0,Food,Series B,50,2022,40.7127281,-74.0060152,Jul
554,Calibrate,New York City,other,New York,USA,North America,156,08-Jul-22,24,650,494,Healthcare,Series B,127,2022,40.7127281,-74.0060152,Jul
555,Hopin,London,other,England,UK,Europe,242,11-Jul-22,29,834,592,Other,Series D,1000,2022,51.4893335,-0.144055085,Jul
556,SundaySky,New York City,other,New York,USA,North America,24,11-Jul-22,13,185,161,Marketing,Series D,74,2022,40.7127281,-74.0060152,Jul
557,Gopuff,Philadelphia,other,Pennsylvania,USA,North America,1500,12-Jul-22,10,15000,13500,Food,Series H,3400,2022,39.9527237,-75.1635262,Jul
558,Hubilo,San Francisco,San Francisco Bay Area,California,USA,North America,45,12-Jul-22,12,375,330,Marketing,Series B,153,2022,37.7792588,-122.4193286,Jul
559,Arrival,London,other,England,UK,Europe,480,13-Jul-22,30,2080,1600,Transportation,Post-IPO,629,2022,51.4893335,-0.144055085,Jul
